timestamp,deribit_eth_funding_index_price,deribit_eth_funding_interest_8h,deribit_eth_funding_interest_1h,deribit_eth_funding_prev_index_price
2026-08-12,1879.1333333333328,1.9769341920982267e-05,4.058644448595177e-06,1879.4433333333327
2026-08-13,1884.49125,4.314610592201206e-06,9.034442439924608e-07,1885.056875
2026-08-14,1875.2786666666664,2.933552248566672e-06,2.531724211019628e-07,1874.848
2026-08-15,1881.666923076923,-5.094295782483504e-07,-2.55504700584624e-07,1881.3484615384607
2026-08-16,1880.3,-5.66116075896623e-08,-3.1461559835172894e-08,1880.6307142857145
2026-08-17,1903.105,4.7653388755037655e-05,6.122007093017457e-06,1903.25625
2026-08-18,1906.040625,5.185872904525514e-06,1.179358974874304e-06,1905.344375
2026-08-19,2039.764375,5.797751306163584e-05,8.322994461724695e-06,2018.96625
2026-08-20,2301.765625,6.193157709984751e-05,4.6218346699086e-06,2298.476875
2026-08-21,2420.2446666666665,0.0001127701468963,1.6489891553137727e-05,2410.199333333333
2026-08-22,2422.77,8.296055673696297e-05,1.0374907679810968e-05,2424.253125
2026-08-23,2436.36375,6.238784667958596e-05,6.784394201858299e-06,2432.273125
2026-08-24,2475.8016666666667,5.7700150553053687e-05,9.024169453378193e-06,2473.801111111111
2026-08-25,2477.9783333333335,7.165046470717101e-05,7.87326082938631e-06,2478.820416666667
2026-08-26,2460.98875,8.507593952958421e-05,1.0873147439371812e-05,2459.3120833333332
2026-08-27,2505.6025,3.9071803490555915e-05,4.2792660668022505e-06,2504.70375
2026-08-28,2480.6691666666666,6.62190529113706e-05,8.45283954337746e-06,2483.7341666666666
2026-08-29,2442.69375,1.662902013118113e-05,1.768745379384068e-06,2442.24625
2026-08-30,2472.4429166666664,1.7031269769942255e-05,2.0423337676315542e-06,2471.702083333333
2026-08-31,2448.11375,6.156230196251504e-05,7.872544509818392e-06,2448.18375
2026-09-01,2448.186666666667,4.124037624123771e-05,6.855950191174258e-06,2450.55875
2026-09-02,2396.804166666667,6.085136965455065e-05,6.882015776439917e-06,2398.1775000000002
2026-09-03,2440.5587499999997,4.350952455293991e-05,4.65314656188803e-06,2435.6470833333333
2026-09-04,2484.1770833333335,2.4585938905980344e-05,2.6367076099857643e-06,2486.0520833333335
2026-09-05,2462.3433333333332,9.206465513059294e-06,1.0963358241522429e-06,2461.1175
2026-09-06,2497.5554166666666,1.155355631672601e-05,1.6198336236753417e-06,2496.432083333333
2026-09-07,2494.96,1.0953836798379356e-05,1.3022461441058112e-06,2496.0316666666668
2026-09-08,2483.3337500000002,1.4873466953512691e-05,1.9487502246152726e-06,2483.0733333333333
2026-09-09,2491.382916666667,2.703393101658724e-05,3.288170670458767e-06,2493.005
2026-09-10,2460.782083333333,3.6927996402570415e-06,4.925773936586201e-07,2461.01375
2026-09-11,2501.7883333333334,2.0978592812388128e-05,2.6391006898302898e-06,2498.9900000000002
2026-09-12,2524.14,9.767672813496328e-05,1.4997488070021915e-05,2523.68125
2026-09-13,2503.0658333333336,6.253435092142481e-05,5.815764164597409e-06,2505.0575
2026-09-14,2516.7541666666666,7.083368292604112e-05,8.717517942015087e-06,2514.3275
2026-09-15,2459.8258333333333,1.9451169984556488e-05,2.259118111621029e-06,2465.5583333333334
2026-09-16,2399.0895833333334,3.289780899926755e-05,3.822155657842626e-06,2399.2770833333334
2026-09-17,2443.454166666667,3.6733691478106296e-05,4.633441013135712e-06,2441.2370833333334
2026-09-18,2532.89125,0.00010836400280861874,1.4385140239211303e-05,2525.5691666666667
2026-09-19,2632.2208333333333,8.269363263231228e-05,1.044693489629859e-05,2631.7816666666668
2026-09-20,2601.334166666667,7.843200231552604e-05,9.357627623145723e-06,2600.9704166666666
2026-09-21,2713.3945833333332,9.66535685395581e-05,1.2812845316638517e-05,2707.5783333333334
2026-09-22,2746.2316666666666,6.304062686492166e-05,6.971309590652639e-06,2747.304583333333
2026-09-23,2718.7720833333333,4.535474111637392e-05,5.653278730770484e-06,2721.4008333333336
2026-09-24,2680.5833333333335,2.2399482800778594e-05,1.7800462534254349e-06,2681.9616666666666
